date,tree,measurement,start,end,remark,probe,decrement_start,decrement_end,decrement_fixed_by
2021-03-22,BK01,M02,63.4,70.54,"Jenom dvě periody, ale pěkné zakolísání po vypuštění",,,,
2021-03-22,BK01,M03,50.83,105.59,"Krásné kmity, dlouhý vzorek",,,,
2021-03-22,BK01,M04,44.34,97.42,Pěkné kmity,,,,
2021-03-22,BK04,M02,51.13,99.37,"Oscilace na začátku napínání, jinak pěkné oscilace a dostatek period, zřetelný exp. pokles amplitudy",,,,
2021-03-22,BK04,M03,40.63,90.9,Pěkné oscilace,,,,
2021-03-22,BK04,M04,40.36,97.21,"Kmity neslábnou, jeden peak rozsypaný, Pt3 končí moc brzo (použít jiný probe)",,,,
2021-03-22,BK07,M02,119.91,183.49,"Hodně kmitů, zřetelný exponenciální pokles amplitudy, řídká snad interpolovatelná data",,,,
2021-03-22,BK07,M03,62.66,113.7,Pěkné oscilace,,,,
2021-03-22,BK07,M04,42.25,77.6,"Hrbaté natahování, odříznutý divný konec, kmity moc neslábnou",,,,
2021-03-22,BK07,M05,66.58,117.8,Pěkné oscilace na dlouhém intervalu,,,,
2021-03-22,BK08,M02,29.24,61.09,Na konci roste amplituda,,,,
2021-03-22,BK08,M03,63.22,inf,Relativně pěkná křivka,,,,
2021-03-22,BK08,M04,60.05,100.34,"Pěkné kmity, jenom trochu chlupaté",,,,
2021-03-22,BK08,M05,47.44,inf,"Chlupato-zubaté napínání, kmity OK s ocasem na konci, zřetelný exp. pokles amplitudy",,,,
2021-03-22,BK08,M06,33.01,inf,Patrné oscilace při natahování,,,,
2021-03-22,BK09,M02,33.07,56.45,"Zašumněné natahování i konec, zvláštní tvar peaků",,,,
2021-03-22,BK09,M03,39.1,68.92,"Oscilace OK, divný tvar peaků, konec odřezaný kvůli roztřesení, peaky během natahování a před vypuštěním",,,,
2021-03-22,BK09,M04,41.85,71.47,"Zašumněné natahování, divný tvar prvních peaků",,,,
2021-03-22,BK10,M02,45.33,inf,"Pěkné oscilace, kousek přerušení, zvláštní tvar peaků",,,,
2021-03-22,BK10,M03,43.88,70.07,"Roztřesené natahování, velmi zvláštní tvar peaků",,,,
2021-03-22,BK10,M04,46.18,69.3,"Zašumněné natahování, lehce divný tvar prvních peaků",,,,
2021-03-22,BK11,M02,41.82,inf,"Hodně period, ale řídká interpolovatelná data, amplituda klesá spíš lineárně",,,,
2021-03-22,BK11,M03,49.97,76.98,Patrné oscilace při natahování,,,,
2021-03-22,BK11,M04,57.07,93.16,Pěkné oscilace,,,,
2021-03-22,BK12,M02,50.56,inf,"Experiment OK, ale neobvyklé tvary peaků",,,,
2021-03-22,BK12,M03,,,"Dost nepovedené, divný tvar kmitů a jenom několik zakmitnutí",,,,
2021-03-22,BK12,M04,23.9,50.2,"Divný tvar kmitů, divné vypuštění, krátká fáze natahování",,,,
2021-03-22,BK13,M02,59.43,inf,"Pěkné kmity, divný tvar maxim a minim",,,,
2021-03-22,BK13,M03,74.34,117.71,"Divné vypuštění, zvláštní tvar peaků, na konci roste amplituda",,,,
2021-03-22,BK14,M02,39.17,inf,"Chlupaté ale použitelné, zřetelný exp. pokled amplitudy",,,,
2021-03-22,BK14,M03,53.24,80.12,Zašumněné natahování i vypuštění,,,,
2021-03-22,BK14,M04,54.84,80.21,"Zježený náběh, ale použitelné",,,,
2021-03-22,BK16,M02,32.18,63.16,"Pěkné kmity, jenom divný tvar prvního peaku",,,,
2021-03-22,BK16,M03,47.73,71.61,"Chlupaté napínání ale OK, divný tvar prvního peaku",,,,
2021-03-22,BK16,M04,50.61,80.33,Divné chování na začátku a hned po vypuštění odfiltrováno,,,,
2021-03-22,BK21,M02,71.81,inf,Pěkné oscilace,,,,
2021-03-22,BK21,M03,64.89,113.63,"Pěkný experiment, hodně period, hladká křivka, mezery vypadají interpolovatelně",,,,
2021-03-22,BK21,M04,72.3,124.8,"Velice pěkné kmity, dlouhý vzorek",,,,
2021-03-22,BK24,M02,117.54,inf,"Pěkná křivka, interpolovatelné mezery, zřetelný exp. pokles amplitudy",,,,
2021-03-22,BK24,M03,93.97,inf,Pěkné kmity,,,,
2021-03-22,BK24,M04,91.82,143.28,Pěkné kmity,,,,
2021-06-29,BK01,M02,49.28,64.48,"Použitelné jenom tři periody, třetí je navíc divná",,,,
